,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,bw(GiB/s),Latency(ms),nnodes,tasks_per_node,xfer_str
166,write,105863.9532,106061.3282,0.0142,131072,1024,0.0069,1.8537,0.0566,1.8572,48,3,rw_n-8_ppn-6_tx-1M.csv,32,103.382766796875,14.200000000000001,8,6.0,1M
165,read,353917.1658,22250.0659,0.0646,131072,16384,0.0064,0.5523,0.0353,0.5555,48,3,rw_n-8_ppn-6_tx-16M.csv,32,345.6222322265625,64.60000000000001,8,6.0,16M
164,write,256813.2359,16136.3629,0.0914,131072,16384,0.0073,0.7615,0.0833,0.7656,48,0,rw_n-8_ppn-6_tx-16M.csv,32,250.79417568359375,91.39999999999999,8,6.0,16M
163,read,7447.1466,476661.6363,0.0043,131072,16,0.0064,35.1973,0.2585,35.2006,64,4,rw_n-8_ppn-8_tx-16K.csv,32,7.2726041015625,4.3,8,8.0,16K
162,write,6426.6647,411342.7534,0.005,131072,16,0.0066,40.7865,0.3614,40.7901,64,0,rw_n-8_ppn-8_tx-16K.csv,32,6.27603974609375,5.0,8,8.0,16K
161,read,5606.1945,358832.7689,0.0043,131072,16,0.007,35.0662,0.3193,35.0698,48,0,rw_n-8_ppn-6_tx-16K.csv,32,5.47479931640625,4.3,8,6.0,16K
160,write,4788.8871,306560.0783,0.005,131072,16,0.0129,41.0455,0.3242,41.0551,48,0,rw_n-8_ppn-6_tx-16K.csv,32,4.67664755859375,5.0,8,6.0,16K
192,write,134738.9863,134976.2444,0.0146,131072,1024,0.0066,1.9421,0.1117,1.9456,64,4,rw_n-8_ppn-8_tx-1M.csv,32,131.58104130859374,14.6,8,8.0,1M
193,read,191754.3916,192218.1456,0.0105,131072,1024,0.0065,1.3638,0.028,1.3671,64,0,rw_n-8_ppn-8_tx-1M.csv,32,187.260148046875,10.5,8,8.0,1M
194,write,860814.5078,53905.2601,0.2068,131072,16384,0.0068,1.8236,0.4283,1.8272,384,3,rw_n-8_ppn-48_tx-16M.csv,32,840.6391677734375,206.8,8,48.0,16M
195,read,213647.3645,13358.567,0.9145,131072,16384,0.0064,7.3589,2.4901,7.362,384,4,rw_n-8_ppn-48_tx-16M.csv,32,208.64000439453125,914.5,8,48.0,16M
196,write,26259.3291,1680740.2114,0.0049,131072,16,0.0066,39.9282,0.3748,39.9316,256,1,rw_n-8_ppn-32_tx-16K.csv,32,25.64387607421875,4.8999999999999995,8,32.0,16K
197,read,27940.6965,1788354.2483,0.0044,131072,16,0.0061,37.5255,1.7955,37.5286,256,3,rw_n-8_ppn-32_tx-16K.csv,32,27.28583642578125,4.4,8,32.0,16K
198,write,12989.0187,831373.5738,0.0049,131072,16,0.007,40.3602,0.3383,40.3639,128,3,rw_n-8_ppn-16_tx-16K.csv,32,12.68458857421875,4.8999999999999995,8,16.0,16K
199,read,14438.075,924138.142,0.0043,131072,16,0.0073,36.3089,1.5284,36.3129,128,2,rw_n-8_ppn-16_tx-16K.csv,32,14.0996826171875,4.3,8,16.0,16K
168,write,265038.4857,265513.6392,0.015,131072,1024,0.0069,1.9746,0.0644,1.9782,128,1,rw_n-8_ppn-16_tx-1M.csv,32,258.82664619140627,15.0,8,16.0,1M
169,read,382143.2808,383071.1276,0.0104,131072,1024,0.0065,1.3686,0.048,1.372,128,3,rw_n-8_ppn-16_tx-1M.csv,32,373.18679765625,10.4,8,16.0,1M
